;;;;;;;;
UF;Município;Código Escola no INEP;CNPJ;Entidade;Segmento;Número de Alunos;Categoria;Conveniada
BA;CAMACARI;29446856;34328203000204;CRECHE ESPERANCA IV;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 1 ;Comunitária;Municipal
BA;CAMACARI;29446856;34328203000204;CRECHE ESPERANCA IV;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 3 ;Comunitária;Municipal
BA;CAMACARI;29404193;34327304000180;ESCOLA COMUNITARIA BRINCANDO E CRIANDO;CRECHE PARCIAL CONVENIADA; 77 ;Comunitária;Municipal
BA;CAMACARI;29404193;34327304000180;ESCOLA COMUNITARIA BRINCANDO E CRIANDO;PRÉ-ESCOLA PARCIAL CONVENIADA; 101 ;Comunitária;Municipal
BA;CAMACARI;29404193;34327304000180;ESCOLA COMUNITARIA BRINCANDO E CRIANDO;EDUCAÇÃO ESPECIAL CONVENIADA - CRECHE ; 1 ;Comunitária;Municipal
BA;CAMACARI;29404193;34327304000180;ESCOLA COMUNITARIA BRINCANDO E CRIANDO;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 7 ;Comunitária;Municipal
BA;CAMACARI;29423058;4824335000185;ESCOLA COMUNITARIA DE PARAFUSO;PRÉ-ESCOLA INTEGRAL CONVENIADA; 27 ;Comunitária;Municipal
BA;CAMACARI;29423058;4824335000185;ESCOLA COMUNITARIA DE PARAFUSO;CRECHE PARCIAL CONVENIADA; 45 ;Comunitária;Municipal
BA;CAMACARI;29423058;4824335000185;ESCOLA COMUNITARIA DE PARAFUSO;PRÉ-ESCOLA PARCIAL CONVENIADA; 12 ;Comunitária;Municipal
BA;CAMACARI;29364000;34326462000115;ESCOLA COMUNITARIA PARQUE FLORESTAL;CRECHE INTEGRAL CONVENIADA; 98 ;Comunitária;Municipal
BA;CAMACARI;29364000;34326462000115;ESCOLA COMUNITARIA PARQUE FLORESTAL;PRÉ-ESCOLA INTEGRAL CONVENIADA; 60 ;Comunitária;Municipal
BA;CAMACARI;29364000;34326462000115;ESCOLA COMUNITARIA PARQUE FLORESTAL;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 2 ;Comunitária;Municipal
BA;CAMACARI;29364000;34326462000115;ESCOLA COMUNITARIA PARQUE FLORESTAL;CRECHE PARCIAL CONVENIADA; 75 ;Comunitária;Municipal
BA;CAMACARI;29364000;34326462000115;ESCOLA COMUNITARIA PARQUE FLORESTAL;PRÉ-ESCOLA PARCIAL CONVENIADA; 38 ;Comunitária;Municipal
BA;CAMACARI;29364000;34326462000115;ESCOLA COMUNITARIA PARQUE FLORESTAL;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 3 ;Comunitária;Municipal
BA;CAMACARI;29357292;16110116000113;ESCOLA CRECHE COM NOSSA SENHORA DO AMPARO;CRECHE INTEGRAL CONVENIADA; 101 ;Comunitária;Municipal
BA;CAMACARI;29357292;16110116000113;ESCOLA CRECHE COM NOSSA SENHORA DO AMPARO;CRECHE INTEGRAL CONVENIADA ESPECIAL; 1 ;Comunitária;Municipal
BA;CAMACARI;29357292;16110116000113;ESCOLA CRECHE COM NOSSA SENHORA DO AMPARO;PRÉ-ESCOLA INTEGRAL CONVENIADA; 127 ;Comunitária;Municipal
BA;CAMACARI;29357292;16110116000113;ESCOLA CRECHE COM NOSSA SENHORA DO AMPARO;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 3 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;CRECHE INTEGRAL CONVENIADA; 124 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;CRECHE INTEGRAL CONVENIADA ESPECIAL; 1 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;PRÉ-ESCOLA INTEGRAL CONVENIADA; 75 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;PRÉ-ESCOLA INTEGRAL CONVENIADA ESPECIAL; 2 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;CRECHE PARCIAL CONVENIADA; 64 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;PRÉ-ESCOLA PARCIAL CONVENIADA; 46 ;Comunitária;Municipal
BA;CAMACARI;29435099;5146726000150;ESCOLA E CRECHE COMUNITARIA CARMEM MIRIM;EDUCAÇÃO ESPECIAL CONVENIADA - PRÉ-ESCOLA ; 3 ;Comunitária;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;CRECHE INTEGRAL CONVENIADA; 59 ;Filantrópica;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;CRECHE INTEGRAL CONVENIADA ESPECIAL; 1 ;Filantrópica;Municipal
BA;CAMACARI;29458978;14848214000127;INSTITUICAO FILANTROPICA FAMILIA FELIZ;PRÉ-ESCOLA INTEGRAL CONVENIADA; 83 ;Filantrópica;Municipal
