Cronograma da Complementação da União-VAAF 2026 - Portaria Interministerial MEC MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;PORTO CALVO;2707305; 496.222,69 ; 545.844,96 ; 595.467,22 ; 645.089,49 ; 761.741,26 ; 808.149,47 ; 808.149,47 ; 862.026,10 ; 877.509,72 ; 881.974,70 ; 881.974,70 ; 881.974,70 ; 1.629.355,20 ; 10.675.479,66 
AL;PORTO DE PEDRAS;2707404; 168.964,55 ; 185.861,01 ; 202.757,46 ; 219.653,92 ; 259.374,02 ; 275.176,08 ; 275.176,08 ; 293.521,15 ; 298.793,35 ; 300.313,68 ; 300.313,68 ; 300.313,68 ; 554.797,83 ; 3.635.016,47 
AL;PORTO REAL DO COLEGIO;2707503; 273.457,06 ; 300.802,77 ; 328.148,48 ; 355.494,18 ; 419.778,33 ; 445.352,84 ; 445.352,84 ; 475.043,03 ; 484.527,51 ; 486.167,41 ; 486.167,41 ; 486.167,41 ; 898.142,99 ; 5.884.602,25 
AL;QUEBRANGULO;2707602; 258.154,75 ; 283.970,22 ; 309.785,70 ; 335.601,17 ; 396.288,05 ; 420.431,45 ; 420.431,45 ; 448.460,21 ; 458.412,86 ; 459.099,74 ; 459.099,74 ; 459.099,74 ; 848.138,33 ; 5.556.973,39 
AL;RIO LARGO;2707701; 1.197.906,68 ; 1.317.697,35 ; 1.437.488,02 ; 1.557.278,69 ; 1.838.881,97 ; 1.950.913,72 ; 1.950.913,72 ; 2.080.974,64 ; 2.142.329,57 ; 2.132.435,65 ; 2.132.435,65 ; 2.132.435,65 ; 3.939.449,87 ; 25.811.141,17 
AL;ROTEIRO;2707800; 120.098,69 ; 132.108,55 ; 144.118,42 ; 156.128,29 ; 184.361,02 ; 195.593,00 ; 195.593,00 ; 208.632,54 ; 213.277,89 ; 213.584,35 ; 213.584,35 ; 213.584,35 ; 394.574,55 ; 2.585.239,00 
AL;SANTA LUZIA DO NORTE;2707909; 126.487,49 ; 139.136,24 ; 151.784,99 ; 164.433,74 ; 194.168,35 ; 205.997,84 ; 205.997,84 ; 219.731,03 ; 223.677,81 ; 224.815,94 ; 224.815,94 ; 224.815,94 ; 415.323,72 ; 2.721.186,86 
AL;SANTANA DO IPANEMA;2708006; 545.175,87 ; 599.693,46 ; 654.211,05 ; 708.728,63 ; 836.888,30 ; 887.874,74 ; 887.874,74 ; 947.066,39 ; 966.173,76 ; 969.271,82 ; 969.271,82 ; 969.271,82 ; 1.790.627,43 ; 11.732.129,84 
AL;SANTANA DO MUNDAU;2708105; 293.725,61 ; 323.098,16 ; 352.470,72 ; 381.843,28 ; 450.892,14 ; 478.362,22 ; 478.362,22 ; 510.253,04 ; 519.493,32 ; 522.071,43 ; 522.071,43 ; 522.071,43 ; 964.471,89 ; 6.319.186,90 
AL;SAO BRAS;2708204; 101.874,77 ; 112.062,25 ; 122.249,72 ; 132.437,20 ; 156.385,87 ; 165.913,50 ; 165.913,50 ; 176.974,40 ; 180.153,20 ; 181.069,85 ; 181.069,85 ; 181.069,85 ; 334.507,45 ; 2.191.681,40 
AL;SAO JOSE DA LAJE;2708303; 315.667,55 ; 347.234,31 ; 378.801,07 ; 410.367,82 ; 484.574,79 ; 514.096,94 ; 514.096,94 ; 548.370,07 ; 559.863,95 ; 561.286,76 ; 561.286,76 ; 561.286,76 ; 1.036.918,06 ; 6.793.851,78 
