 ANEXO V ;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de Agosto de 2026;;;;;;;;;;;;;;;;
 Cronograma de Desembolso da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, § 2º da Lei nº 14.113/2020) ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;"Janeiro do
Ano Seguinte";Total
AL;COITE DO NOIA;2702009; 499.183,72 ; 549.102,10 ; 599.020,47 ; 648.938,84 ; 700.608,27 ; 748.330,41 ; 748.330,41 ; 798.219,10 ; 810.167,07 ; 810.166,06 ; 810.166,06 ; 810.166,06 ; 1.496.696,30 ; 10.029.094,87 
AL;COLONIA LEOPOLDINA;2702108; 900.306,19 ; 990.336,81 ; 1.080.367,43 ; 1.170.398,04 ; 1.263.628,92 ; 1.349.701,38 ; 1.349.701,38 ; 1.439.681,47 ; 1.445.080,15 ; 1.445.078,36 ; 1.445.078,36 ; 1.445.078,36 ; 2.669.629,80 ; 17.994.066,65 
AL;COQUEIRO SECO;2702207; 23.548,76 ; 25.903,64 ; 28.258,52 ; 30.613,39 ; 32.964,68 ; 35.210,08 ; 35.210,08 ; 37.557,42 ; 41.970,63 ; 41.970,58 ; 41.970,58 ; 41.970,58 ; 77.536,25 ; 494.685,19 
AL;CORURIPE;2702306; 3.055.982,02 ; 3.361.580,22 ; 3.667.178,42 ; 3.972.776,62 ; 4.289.282,03 ; 4.581.447,74 ; 4.581.447,74 ; 4.886.877,59 ; 5.123.178,28 ; 5.123.171,94 ; 5.123.171,94 ; 5.123.171,94 ; 9.464.519,59 ; 62.353.786,07 
AL;CRAIBAS;2702355; 1.329.288,87 ; 1.462.217,76 ; 1.595.146,64 ; 1.728.075,53 ; 1.865.673,25 ; 1.992.754,14 ; 1.992.754,14 ; 2.125.604,41 ; 2.147.774,65 ; 2.147.771,99 ; 2.147.771,99 ; 2.147.771,99 ; 3.967.782,14 ; 26.650.387,50 
AL;DELMIRO GOUVEIA;2702405; 1.570.931,91 ; 1.728.025,10 ; 1.885.118,29 ; 2.042.211,48 ; 2.204.722,50 ; 2.354.897,82 ; 2.354.897,82 ; 2.511.891,01 ; 2.576.794,75 ; 2.576.791,56 ; 2.576.791,56 ; 2.576.791,56 ; 4.760.350,54 ; 31.720.215,90 
AL;DOIS RIACHOS;2702504; 370.302,47 ; 407.332,72 ; 444.362,97 ; 481.393,22 ; 519.628,01 ; 555.022,62 ; 555.022,62 ; 592.024,13 ; 608.435,70 ; 608.434,95 ; 608.434,95 ; 608.434,95 ; 1.124.019,35 ; 7.482.848,66 
AL;ESTRELA DE ALAGOAS;2702553; 689.960,60 ; 758.956,66 ; 827.952,72 ; 896.948,78 ; 968.381,18 ; 1.034.342,75 ; 1.034.342,75 ; 1.103.298,93 ; 1.113.206,49 ; 1.113.205,12 ; 1.113.205,12 ; 1.113.205,12 ; 2.056.528,96 ; 13.823.535,18 
AL;FEIRA GRANDE;2702603; 943.048,12 ; 1.037.352,94 ; 1.131.657,75 ; 1.225.962,56 ; 1.323.581,14 ; 1.413.737,26 ; 1.413.737,26 ; 1.507.986,41 ; 1.513.488,92 ; 1.513.487,04 ; 1.513.487,04 ; 1.513.487,04 ; 2.796.007,61 ; 18.847.021,09 
AL;FELIZ DESERTO;2702702; 8.030,96 ; 8.834,06 ; 9.637,16 ; 10.440,25 ; 11.187,42 ; 11.949,46 ; 11.949,46 ; 12.746,09 ; 12.459,00 ; 12.458,99 ; 12.458,99 ; 12.458,99 ; 23.016,68 ; 157.627,51 
