Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
SC;VITOR MEIRELES;4219358; 24.002,74 ; 26.403,02 ; 28.803,29 ; 31.203,57 ; 33.478,79 ; 35.972,83 ; 35.972,83 ; 38.371,02 ; 39.208,06 ; 39.286,79 ; 39.286,79 ; 39.286,79 ; 72.578,20 ; 483.854,72 
SC;WITMARSUM;4219408; 21.315,37 ; 23.446,91 ; 25.578,45 ; 27.709,99 ; 29.730,51 ; 31.945,30 ; 31.945,30 ; 34.074,99 ; 34.817,73 ; 34.888,14 ; 34.888,14 ; 34.888,14 ; 64.452,16 ; 429.681,13 
SC;XANXERE;4219507; 160.730,52 ; 176.803,57 ; 192.876,62 ; 208.949,67 ; 223.527,74 ; 240.722,04 ; 240.722,04 ; 256.770,17 ; 262.378,08 ; 262.899,17 ; 262.899,17 ; 262.899,17 ; 485.678,47 ; 3.237.856,43 
SE;AQUIDABA;2800209; 113.299,10 ; 124.629,01 ; 135.958,92 ; 147.288,83 ; 158.022,57 ; 169.799,63 ; 169.799,63 ; 181.119,60 ; 185.120,03 ; 185.448,84 ; 185.448,84 ; 185.448,84 ; 342.597,16 ; 2.283.981,00 
SE;ARACAJU;2800308; 1.152.691,21 ; 1.267.960,33 ; 1.383.229,45 ; 1.498.498,57 ; 1.606.736,52 ; 1.727.279,03 ; 1.727.279,03 ; 1.842.430,96 ; 1.882.957,53 ; 1.886.447,46 ; 1.886.447,46 ; 1.886.447,46 ; 3.485.012,66 ; 23.233.417,67 
SE;ARAUA;2800407; 70.073,78 ; 77.081,16 ; 84.088,54 ; 91.095,91 ; 97.734,67 ; 105.018,53 ; 105.018,53 ; 112.019,76 ; 114.492,84 ; 114.697,18 ; 114.697,18 ; 114.697,18 ; 211.890,93 ; 1.412.606,19 
SE;BARRA DOS COQUEIROS;2800605; 146.092,51 ; 160.701,76 ; 175.311,01 ; 189.920,26 ; 203.762,04 ; 218.946,91 ; 218.946,91 ; 233.543,37 ; 238.690,29 ; 239.124,15 ; 239.124,15 ; 239.124,15 ; 441.756,63 ; 2.945.044,14 
SE;BOQUIM;2800670; 47.048,01 ; 51.752,81 ; 56.457,61 ; 61.162,41 ; 65.639,71 ; 70.515,15 ; 70.515,15 ; 75.216,16 ; 76.693,65 ; 76.989,41 ; 76.989,41 ; 76.989,41 ; 142.229,81 ; 948.198,70 
SE;BREJO GRANDE;2800704; 20.634,18 ; 22.697,60 ; 24.761,02 ; 26.824,44 ; 28.788,21 ; 30.926,34 ; 30.926,34 ; 32.988,10 ; 33.636,08 ; 33.765,81 ; 33.765,81 ; 33.765,81 ; 62.378,77 ; 415.858,51 
SE;CAMPO DO BRITO;2801009; 64.547,16 ; 71.001,87 ; 77.456,59 ; 83.911,30 ; 90.027,68 ; 96.736,16 ; 96.736,16 ; 103.185,24 ; 105.452,25 ; 105.650,02 ; 105.650,02 ; 105.650,02 ; 195.177,26 ; 1.301.181,73 
SE;CANHOBA;2801108; 27.001,19 ; 29.701,31 ; 32.401,43 ; 35.101,55 ; 37.659,89 ; 40.466,32 ; 40.466,32 ; 43.164,08 ; 44.115,64 ; 44.195,57 ; 44.195,57 ; 44.195,57 ; 81.646,66 ; 544.311,10 
SE;CANINDE DE SAO FRANCISCO;2801207; 227.971,00 ; 250.768,10 ; 273.565,20 ; 296.362,30 ; 317.962,91 ; 341.657,40 ; 341.657,40 ; 364.434,56 ; 372.456,41 ; 373.141,82 ; 373.141,82 ; 373.141,82 ; 689.340,14 ; 4.595.600,88 
SE;CAPELA;2801306; 180.350,54 ; 198.385,60 ; 216.420,65 ; 234.455,71 ; 251.542,13 ; 270.288,68 ; 270.288,68 ; 288.307,93 ; 294.672,64 ; 295.198,81 ; 295.198,81 ; 295.198,81 ; 545.348,65 ; 3.635.657,64 
SE;CARIRA;2801405; 121.229,36 ; 133.352,30 ; 145.475,24 ; 157.598,17 ; 169.084,32 ; 181.684,87 ; 181.684,87 ; 193.797,19 ; 198.067,42 ; 198.428,08 ; 198.428,08 ; 198.428,08 ; 366.574,95 ; 2.443.832,93 
SE;CARMOPOLIS;2801504; 67.350,36 ; 74.085,40 ; 80.820,43 ; 87.555,47 ; 93.936,81 ; 100.937,14 ; 100.937,14 ; 107.666,28 ; 110.037,55 ; 110.238,88 ; 110.238,88 ; 110.238,88 ; 203.654,69 ; 1.357.697,91 
SE;CEDRO DE SAO JOAO;2801603; 24.849,16 ; 27.334,08 ; 29.818,99 ; 32.303,91 ; 34.658,49 ; 37.241,14 ; 37.241,14 ; 39.723,88 ; 40.598,32 ; 40.672,99 ; 40.672,99 ; 40.672,99 ; 75.139,07 ; 500.927,15 
SE;CRISTINAPOLIS;2801702; 61.608,47 ; 67.769,31 ; 73.930,16 ; 80.091,00 ; 85.905,19 ; 92.326,06 ; 92.326,06 ; 98.481,13 ; 100.861,12 ; 100.862,51 ; 100.862,51 ; 100.862,51 ; 186.332,84 ; 1.242.218,87 
SE;CUMBE;2801900; 13.629,25 ; 14.992,18 ; 16.355,10 ; 17.718,03 ; 19.009,34 ; 20.425,95 ; 20.425,95 ; 21.787,68 ; 22.268,91 ; 22.308,47 ; 22.308,47 ; 22.308,47 ; 41.212,55 ; 274.750,35 
SE;DIVINA PASTORA;2802007; 34.903,20 ; 38.393,52 ; 41.883,84 ; 45.374,16 ; 48.681,39 ; 52.309,01 ; 52.309,01 ; 55.796,27 ; 57.024,34 ; 57.129,37 ; 57.129,37 ; 57.129,37 ; 105.540,50 ; 703.603,35 
SE;FEIRA NOVA;2802205; 26.355,26 ; 28.990,79 ; 31.626,31 ; 34.261,84 ; 36.758,98 ; 39.498,28 ; 39.498,28 ; 42.131,50 ; 43.060,05 ; 43.138,29 ; 43.138,29 ; 43.138,29 ; 79.693,44 ; 531.289,60 
SE;FREI PAULO;2802304; 65.507,29 ; 72.058,02 ; 78.608,75 ; 85.159,48 ; 91.365,85 ; 98.174,86 ; 98.174,86 ; 104.719,86 ; 107.029,55 ; 107.222,50 ; 107.222,50 ; 107.222,50 ; 198.082,25 ; 1.320.548,27 
SE;GENERAL MAYNARD;2802502; 17.377,58 ; 19.115,34 ; 20.853,10 ; 22.590,85 ; 24.237,31 ; 26.043,53 ; 26.043,53 ; 27.779,77 ; 28.392,66 ; 28.443,68 ; 28.443,68 ; 28.443,68 ; 52.546,71 ; 350.311,42 
SE;ILHA DAS FLORES;2802700; 74.312,80 ; 81.744,08 ; 89.175,36 ; 96.606,64 ; 103.647,29 ; 111.371,56 ; 111.371,56 ; 118.796,33 ; 121.416,27 ; 121.635,35 ; 121.635,35 ; 121.635,35 ; 224.708,47 ; 1.498.056,41 
SE;INDIAROBA;2802809; 136.195,93 ; 149.815,52 ; 163.435,12 ; 177.054,71 ; 189.957,83 ; 204.114,79 ; 204.114,79 ; 217.722,44 ; 222.529,93 ; 222.926,40 ; 222.926,40 ; 222.926,40 ; 411.832,99 ; 2.745.553,25 
SE;ITABI;2803104; 20.865,45 ; 22.952,00 ; 25.038,55 ; 27.125,09 ; 29.101,92 ; 31.270,74 ; 31.270,74 ; 33.355,46 ; 34.092,16 ; 34.152,73 ; 34.152,73 ; 34.152,73 ; 63.093,58 ; 420.623,88 
SE;ITAPORANGA DAJUDA;2803203; 180.286,46 ; 198.315,11 ; 216.343,75 ; 234.372,40 ; 251.453,61 ; 270.192,85 ; 270.192,85 ; 288.205,70 ; 294.560,47 ; 295.093,12 ; 295.093,12 ; 295.093,12 ; 545.153,40 ; 3.634.355,96 
SE;JAPOATA;2803401; 82.902,93 ; 91.193,22 ; 99.483,51 ; 107.773,81 ; 115.628,35 ; 124.245,48 ; 124.245,48 ; 132.528,51 ; 135.450,97 ; 135.695,65 ; 135.695,65 ; 135.695,65 ; 250.683,39 ; 1.671.222,60 
SE;LARANJEIRAS;2803609; 253.748,94 ; 279.123,84 ; 304.498,73 ; 329.873,62 ; 353.913,92 ; 380.289,78 ; 380.289,78 ; 405.642,43 ; 414.597,10 ; 415.337,70 ; 415.337,70 ; 415.337,70 ; 767.292,58 ; 5.115.283,82 
SE;MALHADA DOS BOIS;2803807; 15.856,01 ; 17.441,61 ; 19.027,21 ; 20.612,81 ; 22.109,30 ; 23.761,72 ; 23.761,72 ; 25.345,83 ; 25.958,36 ; 25.958,72 ; 25.958,72 ; 25.958,72 ; 47.956,01 ; 319.706,74 
SE;MALHADOR;2803906; 59.947,51 ; 65.942,27 ; 71.937,02 ; 77.931,77 ; 83.612,28 ; 89.842,72 ; 89.842,72 ; 95.832,24 ; 97.937,73 ; 98.121,38 ; 98.121,38 ; 98.121,38 ; 181.268,90 ; 1.208.459,30 
SE;MONTE ALEGRE DE SERGIPE;2804201; 69.795,14 ; 76.774,66 ; 83.754,17 ; 90.733,69 ; 97.347,13 ; 104.601,21 ; 104.601,21 ; 111.574,63 ; 114.027,91 ; 114.240,07 ; 114.240,07 ; 114.240,07 ; 211.046,47 ; 1.406.976,43 
SE;MURIBECA;2804300; 38.341,57 ; 42.175,73 ; 46.009,88 ; 49.844,04 ; 53.477,02 ; 57.462,05 ; 57.462,05 ; 61.292,85 ; 62.642,15 ; 62.757,31 ; 62.757,31 ; 62.757,31 ; 115.937,51 ; 772.916,78 
SE;NEOPOLIS;2804409; 74.500,90 ; 81.950,99 ; 89.401,08 ; 96.851,17 ; 103.909,17 ; 111.653,34 ; 111.653,34 ; 119.096,89 ; 121.727,83 ; 121.943,68 ; 121.943,68 ; 121.943,68 ; 225.278,08 ; 1.501.853,83 
SE;NOSSA SENHORA APARECIDA;2804458; 33.758,07 ; 37.133,88 ; 40.509,69 ; 43.885,50 ; 47.084,00 ; 50.592,76 ; 50.592,76 ; 53.965,61 ; 55.155,57 ; 55.255,27 ; 55.255,27 ; 55.255,27 ; 102.078,28 ; 680.521,93 
SE;NOSSA SENHORA DA GLORIA;2804508; 212.418,61 ; 233.660,47 ; 254.902,33 ; 276.144,19 ; 296.270,88 ; 318.349,13 ; 318.349,13 ; 339.572,40 ; 347.049,78 ; 347.686,02 ; 347.686,02 ; 347.686,02 ; 642.313,24 ; 4.282.088,22 
SE;NOSSA SENHORA DAS DORES;2804607; 114.330,24 ; 125.763,26 ; 137.196,28 ; 148.629,31 ; 159.460,61 ; 171.344,93 ; 171.344,93 ; 182.767,93 ; 186.806,02 ; 187.136,73 ; 187.136,73 ; 187.136,73 ; 345.715,37 ; 2.304.769,07 
SE;NOSSA SENHORA DE LOURDES;2804706; 31.370,55 ; 34.507,61 ; 37.644,66 ; 40.781,72 ; 43.753,65 ; 47.014,53 ; 47.014,53 ; 50.148,83 ; 51.257,82 ; 51.347,70 ; 51.347,70 ; 51.347,70 ; 94.859,47 ; 632.396,47 
SE;PACATUBA;2804904; 88.640,32 ; 97.504,35 ; 106.368,39 ; 115.232,42 ; 123.629,38 ; 132.843,73 ; 132.843,73 ; 141.699,97 ; 144.835,67 ; 145.087,77 ; 145.087,77 ; 145.087,77 ; 268.034,35 ; 1.786.895,62 
SE;PEDRA MOLE;2805000; 20.846,13 ; 22.930,75 ; 25.015,36 ; 27.099,98 ; 29.074,86 ; 31.241,76 ; 31.241,76 ; 33.324,54 ; 34.061,60 ; 34.121,22 ; 34.121,22 ; 34.121,22 ; 63.035,36 ; 420.235,76 
SE;PINHAO;2805208; 13.765,42 ; 15.141,96 ; 16.518,50 ; 17.895,04 ; 19.194,21 ; 20.628,77 ; 20.628,77 ; 22.004,02 ; 22.535,79 ; 22.536,10 ; 22.536,10 ; 22.536,10 ; 41.633,07 ; 277.553,85 
SE;POCO VERDE;2805505; 78.883,79 ; 86.772,17 ; 94.660,55 ; 102.548,93 ; 110.022,89 ; 118.222,09 ; 118.222,09 ; 126.103,56 ; 128.882,76 ; 129.116,96 ; 129.116,96 ; 129.116,96 ; 238.529,96 ; 1.590.199,67 
SE;PORTO DA FOLHA;2805604; 127.543,11 ; 140.297,42 ; 153.051,73 ; 165.806,04 ; 177.889,53 ; 191.146,97 ; 191.146,97 ; 203.890,11 ; 208.390,50 ; 208.763,21 ; 208.763,21 ; 208.763,21 ; 385.668,01 ; 2.571.120,02 
SE;PROPRIA;2805703; 59.525,52 ; 65.478,07 ; 71.430,62 ; 77.383,17 ; 83.023,73 ; 89.210,30 ; 89.210,30 ; 95.157,65 ; 97.247,84 ; 97.430,61 ; 97.430,61 ; 97.430,61 ; 179.992,78 ; 1.199.951,81 
SE;RIACHAO DO DANTAS;2805802; 100.338,79 ; 110.372,67 ; 120.406,54 ; 130.440,42 ; 139.947,35 ; 150.376,45 ; 150.376,45 ; 160.401,55 ; 163.935,03 ; 164.234,32 ; 164.234,32 ; 164.234,32 ; 303.405,57 ; 2.022.703,78 
SE;ROSARIO DO CATETE;2806107; 54.360,95 ; 59.797,04 ; 65.233,13 ; 70.669,23 ; 75.819,98 ; 81.470,11 ; 81.470,11 ; 86.901,45 ; 88.813,84 ; 88.977,67 ; 88.977,67 ; 88.977,67 ; 164.376,86 ; 1.095.845,71 
SE;SALGADO;2806206; 78.333,03 ; 86.166,34 ; 93.999,64 ; 101.832,94 ; 109.254,91 ; 117.396,73 ; 117.396,73 ; 125.223,18 ; 127.981,12 ; 128.215,29 ; 128.215,29 ; 128.215,29 ; 236.864,21 ; 1.579.094,70 
SE;SANTA LUZIA DO ITANHY;2806305; 110.572,33 ; 121.629,56 ; 132.686,79 ; 143.744,02 ; 154.219,97 ; 165.713,19 ; 165.713,19 ; 176.760,73 ; 180.659,82 ; 180.985,10 ; 180.985,10 ; 180.985,10 ; 334.350,87 ; 2.229.005,77 
SE;SANTA ROSA DE LIMA;2806503; 28.667,29 ; 31.534,02 ; 34.400,75 ; 37.267,48 ; 39.983,17 ; 42.963,15 ; 42.963,15 ; 45.827,36 ; 46.842,42 ; 46.923,15 ; 46.923,15 ; 46.923,15 ; 86.685,57 ; 577.903,81 
SE;SANTANA DO SAO FRANCISCO;2806404; 46.158,33 ; 50.774,16 ; 55.389,99 ; 60.005,82 ; 64.378,50 ; 69.176,71 ; 69.176,71 ; 73.788,49 ; 75.420,55 ; 75.552,53 ; 75.552,53 ; 75.552,53 ; 139.575,33 ; 930.502,18 
SE;SANTO AMARO DAS BROTAS;2806602; 49.250,56 ; 54.175,62 ; 59.100,68 ; 64.025,73 ; 68.691,78 ; 73.811,10 ; 73.811,10 ; 78.731,84 ; 80.469,34 ; 80.613,54 ; 80.613,54 ; 80.613,54 ; 148.925,01 ; 992.833,38 
SE;SAO CRISTOVAO;2806701; 317.500,64 ; 349.250,71 ; 381.000,77 ; 412.750,84 ; 442.842,19 ; 475.836,30 ; 475.836,30 ; 507.558,72 ; 518.661,11 ; 519.676,22 ; 519.676,22 ; 519.676,22 ; 960.046,99 ; 6.400.313,23 
SE;SAO FRANCISCO;2806909; 18.699,98 ; 20.569,98 ; 22.439,98 ; 24.309,98 ; 26.081,93 ; 28.025,45 ; 28.025,45 ; 29.893,82 ; 30.551,45 ; 30.608,00 ; 30.608,00 ; 30.608,00 ; 56.545,06 ; 376.967,08 
SE;SAO MIGUEL DO ALEIXO;2807006; 15.939,82 ; 17.533,81 ; 19.127,79 ; 20.721,77 ; 22.232,15 ; 23.888,82 ; 23.888,82 ; 25.481,40 ; 26.042,50 ; 26.090,25 ; 26.090,25 ; 26.090,25 ; 48.198,99 ; 321.326,62 
SE;SERGIPE;28; 4.649.247,14 ; 5.114.171,85 ; 5.579.096,56 ; 6.044.021,28 ; 6.485.461,06 ; 6.967.999,50 ; 6.967.999,50 ; 7.432.532,80 ; 7.596.206,46 ; 7.610.124,21 ; 7.610.124,21 ; 7.610.124,21 ; 14.058.901,55 ; 93.726.010,33 
SE;SIMAO DIAS;2807105; 153.300,20 ; 168.630,22 ; 183.960,24 ; 199.290,26 ; 213.815,10 ; 229.749,01 ; 229.749,01 ; 245.065,61 ; 250.465,42 ; 250.921,59 ; 250.921,59 ; 250.921,59 ; 463.551,15 ; 3.090.340,99 
SE;TOBIAS BARRETO;2807402; 226.175,54 ; 248.793,10 ; 271.410,65 ; 294.028,20 ; 315.459,40 ; 338.966,74 ; 338.966,74 ; 361.564,52 ; 369.516,67 ; 370.202,33 ; 370.202,33 ; 370.202,33 ; 683.909,75 ; 4.559.398,30 
SE;UMBAUBA;2807600; 149.532,38 ; 164.485,62 ; 179.438,86 ; 194.392,09 ; 208.560,70 ; 224.102,43 ; 224.102,43 ; 239.042,59 ; 244.302,42 ; 244.753,67 ; 244.753,67 ; 244.753,67 ; 452.156,57 ; 3.014.377,10 
SP;AGUAS DE LINDOIA;3500501; 82.876,41 ; 91.164,05 ; 99.451,69 ; 107.739,33 ; 108.334,99 ; 122.391,63 ; 122.391,63 ; 130.551,07 ; 133.404,96 ; 133.667,62 ; 133.667,62 ; 133.667,62 ; 246.936,82 ; 1.646.245,44 
SP;ALTAIR;3500907; 13.974,72 ; 15.372,19 ; 16.769,67 ; 18.167,14 ; 19.491,77 ; 20.943,86 ; 20.943,86 ; 22.340,12 ; 22.827,83 ; 22.873,34 ; 22.873,34 ; 22.873,34 ; 42.256,08 ; 281.707,26 
SP;ALTINOPOLIS;3501004; 74.525,79 ; 81.978,37 ; 89.430,94 ; 96.883,52 ; 96.163,78 ; 109.745,61 ; 109.745,61 ; 117.061,98 ; 119.625,41 ; 119.857,11 ; 119.857,11 ; 119.857,11 ; 221.423,36 ; 1.476.155,70 
SP;ALTO ALEGRE;3501103; 12.829,95 ; 14.112,94 ; 15.395,94 ; 16.678,94 ; 17.895,47 ; 19.228,29 ; 19.228,29 ; 20.510,18 ; 20.954,33 ; 20.999,24 ; 20.999,24 ; 20.999,24 ; 38.793,89 ; 258.625,94 
SP;ALVARES MACHADO;3501301; 130.573,80 ; 143.631,18 ; 156.688,56 ; 169.745,94 ; 181.700,39 ; 195.584,99 ; 195.584,99 ; 208.623,99 ; 213.185,46 ; 213.604,43 ; 213.604,43 ; 213.604,43 ; 394.611,64 ; 2.630.744,23 
SP;ALVINLANDIA;3501509; 14.827,23 ; 16.309,95 ; 17.792,68 ; 19.275,40 ; 20.680,66 ; 22.221,46 ; 22.221,46 ; 23.702,89 ; 24.222,18 ; 24.268,89 ; 24.268,89 ; 24.268,89 ; 44.834,21 ; 298.894,79 
SP;AMERICO DE CAMPOS;3501806; 28.665,06 ; 31.531,56 ; 34.398,07 ; 37.264,58 ; 39.982,02 ; 42.960,30 ; 42.960,30 ; 45.824,32 ; 46.821,19 ; 46.917,60 ; 46.917,60 ; 46.917,60 ; 86.675,32 ; 577.835,52 
SP;ANHUMAS;3502408; 17.705,65 ; 19.476,21 ; 21.246,78 ; 23.017,34 ; 24.695,99 ; 26.535,47 ; 26.535,47 ; 28.304,50 ; 28.919,02 ; 28.979,63 ; 28.979,63 ; 28.979,63 ; 53.536,81 ; 356.912,13 
SP;APIAI;3502705; 84.721,12 ; 93.193,23 ; 101.665,34 ; 110.137,46 ; 118.170,06 ; 126.971,82 ; 126.971,82 ; 135.436,61 ; 138.370,32 ; 138.666,17 ; 138.666,17 ; 138.666,17 ; 256.171,11 ; 1.707.807,40 
SP;ARANDU;3503109; 15.256,72 ; 16.782,39 ; 18.308,06 ; 19.833,74 ; 21.273,64 ; 22.863,63 ; 22.863,63 ; 24.387,87 ; 24.977,27 ; 24.977,59 ; 24.977,59 ; 24.977,59 ; 46.143,47 ; 307.623,19 
SP;ARAPEI;3503158; 12.653,12 ; 13.918,44 ; 15.183,75 ; 16.449,06 ; 17.647,94 ; 18.963,06 ; 18.963,06 ; 20.227,27 ; 20.673,39 ; 20.710,67 ; 20.710,67 ; 20.710,67 ; 38.260,78 ; 255.071,88 
SP;AREALVA;3503406; 30.660,32 ; 33.726,35 ; 36.792,38 ; 39.858,41 ; 42.764,81 ; 45.950,55 ; 45.950,55 ; 49.013,92 ; 50.081,86 ; 50.183,52 ; 50.183,52 ; 50.183,52 ; 92.708,77 ; 618.058,48 
SP;AREIAS;3503505; 10.502,14 ; 11.552,35 ; 12.602,57 ; 13.652,78 ; 14.644,00 ; 15.738,44 ; 15.738,44 ; 16.787,67 ; 17.193,36 ; 17.193,62 ; 17.193,62 ; 17.193,62 ; 31.763,40 ; 211.756,01 
SP;AREIOPOLIS;3503604; 60.109,87 ; 66.120,85 ; 72.131,84 ; 78.142,82 ; 83.839,47 ; 90.086,23 ; 90.086,23 ; 96.091,98 ; 98.196,21 ; 98.386,40 ; 98.386,40 ; 98.386,40 ; 181.758,48 ; 1.211.723,18 
SP;ASPASIA;3503950; 1.995,08 ; 2.194,59 ; 2.394,10 ; 2.593,61 ; 2.781,98 ; 2.989,82 ; 2.989,82 ; 3.189,15 ; 3.266,23 ; 3.266,26 ; 3.266,26 ; 3.266,26 ; 6.034,08 ; 40.227,24 
SP;AVANHANDAVA;3504404; 44.372,73 ; 48.810,00 ; 53.247,27 ; 57.684,55 ; 61.890,88 ; 66.501,37 ; 66.501,37 ; 70.934,80 ; 72.477,92 ; 72.627,16 ; 72.627,16 ; 72.627,16 ; 134.171,01 ; 894.473,38 
SP;BARIRI;3505203; 68.835,92 ; 75.719,52 ; 82.603,11 ; 89.486,70 ; 96.037,47 ; 103.170,70 ; 103.170,70 ; 110.048,75 ; 112.210,49 ; 112.643,19 ; 112.643,19 ; 112.643,19 ; 208.096,40 ; 1.387.309,33 
SP;BARRA BONITA;3505302; 98.238,90 ; 108.062,79 ; 117.886,68 ; 127.710,57 ; 137.023,97 ; 147.230,75 ; 147.230,75 ; 157.046,13 ; 160.455,64 ; 160.792,02 ; 160.792,02 ; 160.792,02 ; 297.046,28 ; 1.980.308,52 
SP;BARRA DO TURVO;3505401; 26.602,81 ; 29.263,09 ; 31.923,37 ; 34.583,65 ; 37.104,65 ; 39.869,38 ; 39.869,38 ; 42.527,33 ; 43.460,91 ; 43.543,08 ; 43.543,08 ; 43.543,08 ; 80.441,26 ; 536.275,07 
SP;BARRETOS;3505500; 509.054,45 ; 559.959,90 ; 610.865,34 ; 661.770,79 ; 710.025,19 ; 762.918,93 ; 762.918,93 ; 813.780,20 ; 831.504,51 ; 833.198,23 ; 833.198,23 ; 833.198,23 ; 1.539.245,82 ; 10.261.638,75 
SP;BATATAIS;3505906; 185.109,80 ; 203.620,78 ; 222.131,76 ; 240.642,74 ; 261.847,03 ; 278.338,05 ; 278.338,05 ; 296.893,92 ; 303.392,84 ; 303.982,61 ; 303.982,61 ; 303.982,61 ; 561.575,79 ; 3.743.838,59 
SP;BERNARDINO DE CAMPOS;3506300; 19.703,88 ; 21.674,26 ; 23.644,65 ; 25.615,04 ; 27.474,63 ; 29.528,11 ; 29.528,11 ; 31.496,65 ; 32.257,84 ; 32.258,27 ; 32.258,27 ; 32.258,27 ; 59.593,76 ; 397.291,74 
SP;BRAUNA;3507704; 23.439,51 ; 25.783,46 ; 28.127,41 ; 30.471,36 ; 32.693,43 ; 35.128,78 ; 35.128,78 ; 37.470,69 ; 38.285,71 ; 38.364,66 ; 38.364,66 ; 38.364,66 ; 70.874,66 ; 472.497,77 
SP;BRODOWSKY;3507803; 120.835,54 ; 132.919,09 ; 145.002,65 ; 157.086,20 ; 168.536,05 ; 181.094,90 ; 181.094,90 ; 193.167,89 ; 197.415,09 ; 197.782,52 ; 197.782,52 ; 197.782,52 ; 365.382,34 ; 2.435.882,21 
SP;BURI;3508009; 148.143,50 ; 162.957,85 ; 177.772,20 ; 192.586,55 ; 197.873,22 ; 219.833,34 ; 219.833,34 ; 234.488,90 ; 239.636,71 ; 240.089,60 ; 240.089,60 ; 240.089,60 ; 443.540,19 ; 2.956.934,60 
SP;BURITIZAL;3508207; 11.330,87 ; 12.463,96 ; 13.597,05 ; 14.730,14 ; 15.799,57 ; 16.980,38 ; 16.980,38 ; 18.112,40 ; 18.550,11 ; 18.550,38 ; 18.550,38 ; 18.550,38 ; 34.269,88 ; 228.465,88 
SP;CAIUA;3509106; 12.754,57 ; 14.030,03 ; 15.305,49 ; 16.580,95 ; 17.790,03 ; 19.115,24 ; 19.115,24 ; 20.389,59 ; 20.834,10 ; 20.876,18 ; 20.876,18 ; 20.876,18 ; 38.566,55 ; 257.110,33 
SP;CAJAMAR;3509205; 609.405,45 ; 670.345,99 ; 731.286,54 ; 792.227,08 ; 849.974,37 ; 913.309,87 ; 913.309,87 ; 974.197,20 ; 995.594,67 ; 997.467,03 ; 997.467,03 ; 997.467,03 ; 1.842.715,09 ; 12.284.767,22 
SP;CAPIVARI;3510401; 117.029,25 ; 128.732,17 ; 140.435,10 ; 152.138,02 ; 163.182,57 ; 175.379,29 ; 175.379,29 ; 187.071,24 ; 191.592,17 ; 191.594,83 ; 191.594,83 ; 191.594,83 ; 353.951,23 ; 2.359.674,82 
SP;CARDOSO;3510708; 44.757,76 ; 49.233,54 ; 53.709,31 ; 58.185,09 ; 62.427,55 ; 67.078,34 ; 67.078,34 ; 71.550,23 ; 73.109,87 ; 73.257,69 ; 73.257,69 ; 73.257,69 ; 135.335,85 ; 902.238,95 
SP;CASA BRANCA;3510807; 46.755,13 ; 51.430,64 ; 56.106,15 ; 60.781,66 ; 65.619,52 ; 70.173,30 ; 70.173,30 ; 74.851,52 ; 76.660,47 ; 76.661,51 ; 76.661,51 ; 76.661,51 ; 141.624,04 ; 944.160,26 
SP;CASTILHO;3511003; 41.182,81 ; 45.301,09 ; 49.419,37 ; 53.537,66 ; 57.424,36 ; 61.716,30 ; 61.716,30 ; 65.830,72 ; 67.421,65 ; 67.422,58 ; 67.422,58 ; 67.422,58 ; 124.556,11 ; 830.374,11 
SP;CATANDUVA;3511102; 374.470,48 ; 411.917,52 ; 449.364,57 ; 486.811,62 ; 522.302,75 ; 561.216,75 ; 561.216,75 ; 598.631,20 ; 611.721,97 ; 612.922,48 ; 612.922,48 ; 612.922,48 ; 1.132.309,60 ; 7.548.730,65 
SP;CHARQUEADA;3511706; 87.214,30 ; 95.935,73 ; 104.657,16 ; 113.378,59 ; 121.643,84 ; 130.707,42 ; 130.707,42 ; 139.421,24 ; 142.475,75 ; 142.750,44 ; 142.750,44 ; 142.750,44 ; 263.716,38 ; 1.758.109,15 
SP;COLINA;3512001; 48.420,96 ; 53.263,06 ; 58.105,16 ; 62.947,25 ; 67.516,89 ; 72.563,35 ; 72.563,35 ; 77.400,91 ; 79.271,48 ; 79.272,54 ; 79.272,54 ; 79.272,54 ; 146.447,66 ; 976.317,69 
SP;COLOMBIA;3512100; 54.810,57 ; 60.291,63 ; 65.772,69 ; 71.253,74 ; 76.449,09 ; 82.144,44 ; 82.144,44 ; 87.620,73 ; 89.531,25 ; 89.711,78 ; 89.711,78 ; 89.711,78 ; 165.733,05 ; 1.104.886,97 
SP;CORONEL MACEDO;3512605; 16.447,47 ; 18.092,22 ; 19.736,97 ; 21.381,72 ; 22.940,57 ; 24.649,72 ; 24.649,72 ; 26.293,04 ; 26.868,53 ; 26.920,81 ; 26.920,81 ; 26.920,81 ; 49.733,36 ; 331.555,75 
SP;CRUZALIA;3513306; 4.026,67 ; 4.429,34 ; 4.832,01 ; 5.234,68 ; 5.614,76 ; 6.034,35 ; 6.034,35 ; 6.436,64 ; 6.592,18 ; 6.592,29 ; 6.592,29 ; 6.592,29 ; 12.178,56 ; 81.190,41 
