Anexo VII;;;;;;;;;;;;;;;;
Portaria Interministerial MEC/MF nº 11, de 28 de agosto de 2026;;;;;;;;;;;;;;;;
Cronograma de Desembolso da Complementação da União-VAAR ao Fundeb no Ano de 2026 (art. 16, § 2º, da Lei nº 14.113/2020);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;"Código 
IBGE";Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro do ano seguinte;Total
AL;ROTEIRO;2707800; 57.670,44 ; 63.437,48 ; 69.204,53 ; 74.971,57 ; 80.437,00 ; 86.430,27 ; 86.430,27 ; 92.192,29 ; 94.211,46 ; 94.393,63 ; 94.393,63 ; 94.393,63 ; 174.382,28 ; 1.162.548,48 
AL;SANTA LUZIA DO NORTE;2707909; 49.386,43 ; 54.325,07 ; 59.263,72 ; 64.202,36 ; 68.881,60 ; 74.014,81 ; 74.014,81 ; 78.949,13 ; 80.688,31 ; 80.835,61 ; 80.835,61 ; 80.835,61 ; 149.335,25 ; 995.568,32 
AL;SANTANA DO IPANEMA;2708006; 113.541,48 ; 124.895,63 ; 136.249,77 ; 147.603,92 ; 158.409,16 ; 170.175,01 ; 170.175,01 ; 181.520,01 ; 185.085,67 ; 185.799,41 ; 185.799,41 ; 185.799,41 ; 343.244,81 ; 2.288.298,70 
AL;SANTANA DO MUNDAU;2708105; 162.239,53 ; 178.463,48 ; 194.687,44 ; 210.911,39 ; 226.301,09 ; 243.150,75 ; 243.150,75 ; 259.360,79 ; 264.911,98 ; 265.536,45 ; 265.536,45 ; 265.536,45 ; 490.550,57 ; 3.270.337,12 
AL;SAO BRAS;2708204; 23.778,19 ; 26.156,01 ; 28.533,83 ; 30.911,65 ; 33.174,60 ; 35.638,55 ; 35.638,55 ; 38.014,45 ; 38.761,18 ; 38.910,66 ; 38.910,66 ; 38.910,66 ; 71.883,34 ; 479.222,33 
AL;SAO JOSE DA LAJE;2708303; 178.167,75 ; 195.984,53 ; 213.801,30 ; 231.618,08 ; 248.515,97 ; 267.021,92 ; 267.021,92 ; 284.823,38 ; 290.944,50 ; 291.608,67 ; 291.608,67 ; 291.608,67 ; 538.716,25 ; 3.591.441,61 
AL;SAO LUIS DO QUITUNDE;2708501; 177.205,65 ; 194.926,21 ; 212.646,78 ; 230.367,34 ; 247.157,67 ; 265.575,93 ; 265.575,93 ; 283.280,99 ; 289.517,89 ; 290.049,47 ; 290.049,47 ; 290.049,47 ; 535.835,79 ; 3.572.238,59 
AL;SAO MIGUEL DOS CAMPOS;2708600; 328.797,60 ; 361.677,36 ; 394.557,12 ; 427.436,88 ; 458.595,17 ; 492.766,06 ; 492.766,06 ; 525.617,13 ; 537.148,42 ; 538.170,29 ; 538.170,29 ; 538.170,29 ; 994.212,83 ; 6.628.085,50 
AL;SAO MIGUEL DOS MILAGRES;2708709; 69.899,63 ; 76.889,60 ; 83.879,56 ; 90.869,52 ; 97.492,19 ; 104.757,65 ; 104.757,65 ; 111.741,49 ; 114.204,50 ; 114.411,72 ; 114.411,72 ; 114.411,72 ; 211.363,59 ; 1.409.090,54 
AL;SAO SEBASTIAO;2708808; 229.669,44 ; 252.636,39 ; 275.603,33 ; 298.570,27 ; 320.331,77 ; 344.202,81 ; 344.202,81 ; 367.149,66 ; 375.231,83 ; 375.921,87 ; 375.921,87 ; 375.921,87 ; 694.475,99 ; 4.629.839,91 
