;;;;;;;;
ESCOLAS DE EDUCAÇÃO PROFISSIONAL E MATRÍCULAS CONSIDERADAS NO FUNDEB 2026;;;;;;;;
UF;Município;Código da Escola no INEP;CNPJ;Entidade;Segmento;Categoria;Conveniada; Número de Alunos 
AC;RIO BRANCO;12091260;;ESC BOA UNIAO ENSINO JOVEM;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;365,00
AC;RODRIGUES ALVES;12003590;;ESC CUNHA VASCONCELOS;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;29,00
AC;RODRIGUES ALVES;12003760;;ESC JOSE DE SOUZA MARTINS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;95,00
AC;RODRIGUES ALVES;12022004;;ESC FRANCISCO BRAGA DE SOUZA;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;78,00
AC;RODRIGUES ALVES;12028479;;ESC MANOEL CARNEIRO DE MESSIAS;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;49,00
AC;SANTA ROSA DO PURUS;12028851;;ESC PADRE PAOLINO MARIA BALDASSARI;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;114,00
AC;SENA MADUREIRA;12007412;;ESC ASSIS VASCONCELOS;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;34,00
AC;SENA MADUREIRA;12007617;;ESC DOM JULIO MATTIOLI;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;2,00
AC;SENA MADUREIRA;12007617;;ESC DOM JULIO MATTIOLI;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;54,00
AC;SENA MADUREIRA;12008389;;ESC RAIMUNDO MAGALHAES;EJA MÉDIO INTEGRADO À ED. PROFISSIONAL;Pública;Não se aplica;13,00
AC;SENADOR GUIOMARD;12013811;;ESC SAO JOSE IV;ITINERÁRIO DE FORMAÇÃO TÉCNICA E PROFISSIONAL (SEGUNDA MATRÍCULA);Pública;Não se aplica;1,00
