Categorias e Variáveis (Métrica e dimensões);Detalhes;Categorias Implementada no Extrator;Categorias Internas do Banco de Dados;Varáveis Disponíveis no Banco de Dados;Variáveis Internas do Banco de Dados
D19 - PIA - Maiores de 10 anos e Ocupados, Desocupados ou Inativos (sem missings);População em Idade Ativa - Maiores de 10 anos e Ocupados, Desocupados ou Inativos (PIA sem missings);Sim;1;pia2;PIA2
D19 - PIA - Maiores de 10 anos e Ocupados, Desocupados ou Inativos (sem missings);População em Idade Ativa - Maiores de 10 anos e Ocupados, Desocupados ou Inativos (PIA sem missings);Não;0;pia2;PIA2
D04 - População Economicamente Ativa;Condição de atividade na semana de referência para pessoas de 10 anos ou mais de idade;Não se Aplica;;PEA_IBGE;PEA_IGBE
D04 - População Economicamente Ativa;Condição de atividade na semana de referência para pessoas de 10 anos ou mais de idade;Economicamente Ativa;1;PEA_IBGE;PEA_IGBE
D04 - População Economicamente Ativa;Condição de atividade na semana de referência para pessoas de 10 anos ou mais de idade;Não Economicamente Ativa;0;PEA_IBGE;PEA_IGBE
Ano da Amostra;Ano da Amostra;1992;1992;ano;ANO
Ano da Amostra;Ano da Amostra;1993;1993;ano;ANO
Ano da Amostra;Ano da Amostra;1995;1995;ano;ANO
Ano da Amostra;Ano da Amostra;1996;1996;ano;ANO
Ano da Amostra;Ano da Amostra;1997;1997;ano;ANO
Ano da Amostra;Ano da Amostra;1998;1998;ano;ANO
Ano da Amostra;Ano da Amostra;1999;1999;ano;ANO
Ano da Amostra;Ano da Amostra;2001;2001;ano;ANO
Ano da Amostra;Ano da Amostra;2002;2002;ano;ANO
Ano da Amostra;Ano da Amostra;2003;2003;ano;ANO
Ano da Amostra;Ano da Amostra;2004;2004;ano;ANO
Ano da Amostra;Ano da Amostra;2005;2005;ano;ANO
Ano da Amostra;Ano da Amostra;2006;2006;ano;ANO
Ano da Amostra;Ano da Amostra;2007;2007;ano;ANO
Ano da Amostra;Ano da Amostra;2008;2008;ano;ANO
Ano da Amostra;Ano da Amostra;2009;2009;ano;ANO
Ano da Amostra;Ano da Amostra;2011;2011;ano;ANO
Ano da Amostra;Ano da Amostra;2012;2012;ano;ANO
D26 - Unidade da Federação;Unidade da Federação;Acre;AC;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Alagoas;AL;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Amazonas;AM;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Amapá;AP;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Bahia;BA;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Ceará;CE;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Distrito Federal;DF;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Espírito Santo;ES;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Goiás;GO;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Maranhão;MA;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Minas Gerais;MG;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Mato Grosso do Sul;MS;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Mato Grosso;MT;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Pará;PA;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Paraíba;PB;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Pernambuco;PE;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Piauí;PI;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Paraná;PR;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Rio de Jnaeiro;RJ;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Rio Grande do Norte;RN;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Rondônia;RO;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Roraima;RR;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Rio Grande do Sul;RS;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Santa Catarina;SC;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Sergipe;SE;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;São Paulo;SP;UF2;UF2
D26 - Unidade da Federação;Unidade da Federação;Tocantins;TO;UF2;UF2
D06 - Cor;Cor;Não Definido;...;cor / COR_N;cor
D06 - Cor;Cor;Amarelo;Amarel;cor / COR_N;cor
D06 - Cor;Cor;Branco;Branco;cor / COR_N;cor
D06 - Cor;Cor;Indégena;Indíge;cor / COR_N;cor
D06 - Cor;Cor;Parda;Parda;cor / COR_N;cor
D06 - Cor;Cor;Preto;Preto;cor / COR_N;cor
D09 - Faixa de Idade;Faixa de Idade;Não Aplicável;.....;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;00 a 09 anos de idade;00a09;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;10 a 14 anos de idade;10a14;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;15 a 17 anos de idade;15a17;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;18 a 19 anos de idade;18a19;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;20 a 24 anos de idade;20a24;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;25 a 29 anos de idade;25a29;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;30 a 39 anos de idade;30a39;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;40 a 49 anos de idade;40a49;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;50 a 59 anos de idade;50a59;fxid6;fxid6
D09 - Faixa de Idade;Faixa de Idade;Mais de 60 anos de idade;60E++;fxid6;fxid6
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Não Aplicável;;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Dirigentes em Geral;DIRIGENTES EM GERAL;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Membros das Forças Armadas / Auxiliares;MEMBROS FORÇAS ARMADAS/AUXILIARES;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Ocupações Mal Definidas / Não Declaradas;OCUP.MAL DEF./NÃO DECLARADAS;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Profissionais das Ciências e Artes;PROFISSIONAIS DAS CIÊNCIAS/ARTES;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Trabalhadores Agrícolas;TRAB. AGRÍCOLAS;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Trabalhador de Serviços Administrativos;TRAB. DE SERV. ADM.;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Trabalhadores dos Serviços;TRAB. DOS SERVIÇOS;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Trabalhador da Produção, Reparo e Manutenção;TRAB.DA PRODUÇÃO/REPAR./MANUT.;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Técnicos de Nível Médio;TÉCNICOS DE NÍVEL MÉDIO;ocupacao / OCUPACAO_N;ocupacao
D24 - Ocupação;Ocupação no trabalho principal da semana de referência;Vendas / Prestação de Serviços de Comércio;VEND./PREST. DE SERV. COMÉRCIO;ocupacao / OCUPACAO_N;ocupacao
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;não disponível;;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Sem definição Precisa;.....;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Administração Pública;ADMPU;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Agricultura;AGRIC;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Comércio;COMER;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Construção;CONST;ATIVI;ATIVI
D23 - Setor de Atividade;Nome do setor da atividade principal do empreendimento no trabalho principal da semana de referência;Indústria;INDUS;ATIVI;ATIVI
